"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Назначение кожи";"Characteristics:Тип сырья";"Characteristics:Вид кожи";"Characteristics:Минимальный заказ";Characteristics:Цвет;Characteristics:Особенности;Characteristics:Сорт;"Characteristics:Размер шкур";"Characteristics:Толщина (мм)";"Characteristics:Страна производства";"Characteristics:Вид покрытия";"Characteristics:Тип молнии";"Characteristics:Вид соединения";"Characteristics:Цвет тесьмы";"Characteristics:Цвет металла";Characteristics:Длина;"Characteristics:Происхождение сырья";Characteristics:Диаметр;Weight;Length;Width;Height;Unit;Portion;Url
279175116492;;;;"Одежная;Одежная / Гладкая";"Vegetale Khaki";;;https://static.tildacdn.com/stor6262-3965-4261-a665-643637646430/32208960.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;vhUy1khsv8J3pnDv3eOb;;Одежная;Овчина;;;Зеленый;Арт-VEGETALEGREEN;1;"7-8 фут2";0.7-0.8;;"Натуральное крошение";;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/odejnayakozha/tproduct/279175116492-vegetale-khaki
122457814302;;;;;"Vegetale Khaki - фут2 - Оттенок зеленого";;;;5.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок зеленого #028a34";;E7sScgPhhilrgBgMd6mR;279175116492;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/279175116492-vegetale-khaki?editionuid=122457814302
633444176522;;;;;"Vegetale Khaki - дм2 - Оттенок зеленого";;;;0.53;;;"Единица измерения:дм2;Оттенок цвета:Оттенок зеленого #028a34";;5OXXoZVnSmDC44iBT7bg;279175116492;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/279175116492-vegetale-khaki?editionuid=633444176522
629286833272;;;;"Замша / Фактурная";"Фактурная замша ""Sandy Brown""";;;;;;;"product_options:[{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;7bkkn94F6Up1MyR2KD2V;;Одежная;Овчина;Замша;100;Коричневый;;;;0.9-1;ТУРЦИЯ;;;;;;;;;0;0;0;0;FOT;1;https://ozelifkoja.ru/zamsha/fakturnaya/tproduct/629286833272-fakturnaya-zamsha-sandy-brown
254462472982;;;;;"Фактурная замша ""Sandy Brown"" - Оттенок черного";;;;5.00;;;"Оттенок цвета:Оттенок черного #000000";;yPJsmPfXCUIVnhSDYa5C;629286833272;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/zamsha/fakturnaya/tproduct/629286833272-fakturnaya-zamsha-sandy-brown?editionuid=254462472982
661623308152;;;;"Одежная;Одежная / Винтажная";"Marocco Black Vintage";;;https://static.tildacdn.com/stor6465-3061-4233-a234-663861633734/26545118.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;JB3nOfABtzc5VLFNKTBJ;;Одежная;Овчина;;;Черный;Арт-MAROCCOBLACK;1;"6-7 фут";0.8-0.9;;;;;;;;Турция;;0;0;0;0;FOT;1;https://ozelifkoja.ru/odejnayakozha/tproduct/661623308152-marocco-black-vintage
255713859712;;;;;"Marocco Black Vintage - фут2 - Оттенок черного";;;;5.00;;;"Единица измерения:фут2;Оттенок цвета:Оттенок черного #000000";;HasCi4aUgVRetyERB79P;661623308152;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/661623308152-marocco-black-vintage?editionuid=255713859712
367898055082;;;;;"Marocco Black Vintage - дм2 - Оттенок черного";;;;0.53;;;"Единица измерения:дм2;Оттенок цвета:Оттенок черного #000000";;OIocuKjkZrlCBeLUSs1U;661623308152;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/odejnayakozha/tproduct/661623308152-marocco-black-vintage?editionuid=367898055082
673089609442;;;;"Дубленочный;Дубленка / Керли;Новинки";"Дубленочный материал Кёрли ""Vintage Brown""";;"Тип сырья: Овчина Керли";https://static.tildacdn.com/stor3137-3436-4437-a538-373763316332/94613690.jpg;;;;"product_options:[{""title"":""Единица измерения"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}},{""title"":""Оттенок цвета"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;IgZvupbCeXLkUOULsFf8;;Одежная;Овчина;Дубленка;;Коричневый;;;"6-7 фут2";;;Кожа;;;;;;Испания;;0;0;0;0;;0;https://ozelifkoja.ru/dublyonka/tproduct/673089609442-dublenochnii-material-kyorli-vintage-bro
874826775802;;;;;"Дубленочный материал Кёрли ""Vintage Brown"" - дм2 - Оттенок коричневого";;;;1.40;;;"Единица измерения:дм2;Оттенок цвета:Оттенок коричневого #6e3b12";;BkCuFBOD5Ru78ZPZNAEt;673089609442;;;;;;;;;;;;;;;;;;;0;0;0;0;;;https://ozelifkoja.ru/dublyonka/tproduct/673089609442-dublenochnii-material-kyorli-vintage-bro?editionuid=874826775802
